title,link,authors,authors_webpage,publish_date,book_length,price,purchase_links
Carbon Capture,https://mitpress.mit.edu/9780262535755/carbon-capture,Howard J. Herzog,https://mitpress.mit.edu/author/howard-j-herzog-27843,"September 11, 2018",216,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535755
Extremism,https://mitpress.mit.edu/9780262535878/extremism,J. M. Berger,https://mitpress.mit.edu/author/j-m-berger-28577,"August 28, 2018",216,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535878
The Book,https://mitpress.mit.edu/9780262535410/the-book,Amaranth Borsuk,https://mitpress.mit.edu/author/amaranth-borsuk-24538,"May 4, 2018",344,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535410
Data Science,https://mitpress.mit.edu/9780262535434/data-science,John D. Kelleher & Brendan Tierney,https://mitpress.mit.edu/author/john-d-kelleher-19876 & https://mitpress.mit.edu/author/brendan-tierney-26222,"April 13, 2018",280,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535434
Synesthesia,https://mitpress.mit.edu/9780262535090/synesthesia,Richard E. Cytowic,https://mitpress.mit.edu/author/richard-e-cytowic-4555,"March 9, 2018",288,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535090
Post-Truth,https://mitpress.mit.edu/9780262535045/post-truth,Lee McIntyre,https://mitpress.mit.edu/author/lee-mcintyre-2985,"February 16, 2018",240,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262535045
Information and Society,https://mitpress.mit.edu/9780262533386/information-and-society,Michael Buckland,https://mitpress.mit.edu/author/michael-buckland-10168,"March 3, 2017",232,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262533386
MOOCs,https://mitpress.mit.edu/9780262526913/moocs,Jonathan Haber,https://mitpress.mit.edu/author/jonathan-haber-21957,"September 26, 2014",248,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262526913
The Conscious Mind,https://mitpress.mit.edu/9780262527101/the-conscious-mind,Zoltan Torey,https://mitpress.mit.edu/author/zoltan-torey-11949,"August 8, 2014",208,$16.95,https://www.penguinrandomhouse.com/search/site/?q=9780262527101
Free Will,https://mitpress.mit.edu/9780262525794/free-will,Mark Balaguer,https://mitpress.mit.edu/author/mark-balaguer-13441,"February 14, 2014",152,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262525794
Information and the Modern Corporation,https://mitpress.mit.edu/9780262516419/information-and-the-modern-corporation,James W. Cortada,https://mitpress.mit.edu/author/james-w-cortada-5834,"October 7, 2011",176,$15.95,https://www.penguinrandomhouse.com/search/site/?q=9780262516419
